idx	source	text
1	gemini	पक्षियों को रंग कैसे मिले? बहुत, बहुत पहले, सारे पक्षी बस सफ़ेद थे।
2	gemini	एक दिन प्यारे गणेश जी ने अपने रंगों का जादुई डब्बा खोला। उन्होंने आवाज़ लगाई, "पक्षियों, आओ! अपने-अपने रंग ले जाओ!" फुर्रर्र!
3	gemini	सबसे पहले आया मिट्ठू तोता। टें-टें! बोला, "मुझे चाहिए हरा रंग, पत्तों जैसा!" गणेश जी ने उसे हरा बना दिया। फिर आया सुंदर मोर।
4	gemini	वो बोला, "मुझे नीला और हरा, दोनों चाहिए!" गणेश जी ने उसे सुंदर पंख दिए। एक-एक करके सारे पक्षी आए।
5	gemini	कोई पीला, कोई लाल, कोई नारंगी। सब अपना रंग पाकर ख़ुशी से गाते हुए उड़ जाते।
6	gemini	"मेरा रंग, मेरा रंग, सबसे प्यारा मेरा रंग!" पर कालू कौआ तो सो रहा था। जब वो जागा, तो दौड़ा-दौड़ा आया। काँव-काँव!
7	gemini	पर तब तक सारे रंग ख़त्म हो गए थे। कालू उदास हो गया। गणेश जी मुस्कुराए।
8	gemini	उन्होंने डब्बे में बचे-खुचे सारे रंगों को अपनी सूँड से मिला दिया। लाल, पीला, नीला सब मिलकर बन गया एक नया, चमकीला काला रंग!
9	gemini	गणेश जी ने कहा, "यह ख़ास रंग सिर्फ़ तुम्हारे लिए है, कालू!" कालू कौआ ख़ुशी से उछल पड़ा!
10	gemini	वो भी उड़ते-उड़ते गाने लगा, "मेरा रंग, मेरा रंग, सबसे प्यारा मेरा रंग!"
11	gemini	आरव और छोटा पिल्ला सूरज ढल रहा था और आसमान में तारे टिम-टिम करने लगे थे। आरव दौड़कर अपने घर जा रहा था। अरे!
12	gemini	उसका सबसे प्यारा शो 'सुपर शेरू' बस शुरू ही होने वाला था! तभी उसे एक पतली सी आवाज़ सुनाई दी। कीं... कीं... कीं...
13	gemini	आरव वहीं रुक गया। यह आवाज़ कहाँ से आई? उसने एक बड़ी सी झाड़ी के पीछे झाँका। वहाँ एक छोटा सा पिल्ला बैठा था!
