idx	source	text
1	gemini	आज मी तुम्हाला पक्ष्यांना रंग कसे मिळाले याची एक सुंदर गोष्ट सांगणार आहे. खूप खूप वर्षांपूर्वीची ही गोष्ट आहे.
2	gemini	त्या वेळी सगळे पक्षी एकाच रंगाचे होते. सगळ्यांचे पंख फिकट राखाडी रंगाचे दिसायचे. कोणताही पक्षी दुसऱ्यापेक्षा वेगळा दिसत नव्हता.
3	gemini	एके दिवशी भगवान गणेशांनी सर्व पक्ष्यांना बोलावले.
4	gemini	गणेश म्हणाले, "उद्या सकाळी सगळ्यांनी माझ्याकडे यायचे." "मी प्रत्येकाला सुंदर रंग देणार आहे." हे ऐकून सगळे पक्षी खूप आनंदी झाले.
5	gemini	दुसऱ्या दिवशी सकाळी सगळे पक्षी रांगेत उभे राहिले. सर्वात आधी मोर आला. गणेशांनी त्याच्या पंखांवर सुंदर निळे आणि हिरवे रंग भरले.
6	gemini	मोर आनंदाने नाचू लागला. नंतर पोपट आला. त्याला हिरवागार रंग आणि लाल चोच मिळाली. चिमणी आली. तिला सुंदर तपकिरी आणि पांढरे रंग मिळाले.
7	gemini	खंड्या पक्ष्याला निळसर रंग मिळाला. बुलबुलला काळे आणि लाल रंग मिळाले. सूर्यपक्ष्याला चमकदार जांभळे रंग मिळाले. प्रत्येक पक्षी आनंदाने उडू लागला.
8	gemini	पण कावळा अजूनही आला नव्हता. तो वाटेत मित्रांशी गप्पा मारत बसला होता. त्याला वेळेचे अजिबात भान राहिले नाही. शेवटी तो धावत धावत गणेशांकडे आला.
9	gemini	तो दमून म्हणाला, "मला माफ करा." "मला थोडा उशीर झाला." गणेश प्रेमाने हसले.
10	gemini	ते म्हणाले, "तू उशिरा आलास." "आता रंग जवळजवळ संपले आहेत." भांड्यात फक्त काळा रंग उरला होता. गणेशांनी तोच रंग कावळ्याच्या पंखांवर लावला.
11	gemini	कावळा थोडासा दुःखी झाला. गणेश त्याला म्हणाले, "रंगाने नाही, तर गुणांनी माणूस आणि पक्षी मोठा होतो." "तुझा आवाज आणि तुझी बुद्धी तुला खास बनवेल." हे ऐकून कावळाही हसला.
12	gemini	त्या दिवसापासून प्रत्येक पक्ष्याचा रंग वेगळा झाला. मोर रंगीबेरंगी झाला. पोपट हिरवा झाला. चिमणी तपकिरी झाली. आणि कावळा काळा झाला.
13	gemini	मुलांनो, या गोष्टीतून आपण काय शिकलो? आपले सौंदर्य फक्त रंगात नसते. आपले चांगले गुणच आपली खरी ओळख असतात.
14	gemini	एकदा एका मोठ्या जंगलात एक बलवान सिंह राहत होता. तो जंगलाचा राजा होता. एका दुपारी उन्हं खूप कडक होती.
15	gemini	सिंह एका मोठ्या झाडाखाली आरामात झोपला होता. घोर... घोर... घोर... तेवढ्यात एक छोटासा उंदीर तिथून पळत पळत गेला. चूं... चूं... चूं...
16	gemini	खेळता खेळता तो चुकून सिंहाच्या अंगावर चढला. सिंहाला अचानक जाग आली. "गुर्र्र्र... कोण आहे तिथे?" सिंह जोरात गर्जला. त्याने आपल्या मोठ्या पंजात उंदराला पकडलं.
17	gemini	उंदीर घाबरून थरथर कापू लागला. तो म्हणाला-"महाराज, कृपा करा! मला सोडा. माझ्याकडून चूक झाली." सिंह मोठ्याने हसू लागला- "हा... हा... हा...
18	gemini	हा...!" "अरे छोट्या उंदरा, तू इतका लहान! तू माझ्या काय उपयोगी पडणार?" उंदीर नम्रपणे म्हणाला-"महाराज, आज मी लहान आहे.
19	gemini	पण कदाचित एक दिवस मी तुमच्या उपयोगी पडेन." सिंह पुन्हा हसला- "हा... हा... हा... बरं, जा.
20	gemini	आज मी तुला माफ करतो." असं म्हणत सिंहाने उंदराला सोडून दिलं. काही दिवसांनी जंगलात शिकारी आले. त्यांनी सिंहाला पकडण्यासाठी एक मोठं जाळं लावलं.
21	gemini	फिरता फिरता सिंह त्या जाळ्यात अडकला-गुर्र्र्र! वाचवा! मला सोडा!" सिंहाने खूप प्रयत्न केले-धडाम! धपाक! गुर्र्र्र! पण जाळं अधिकच घट्ट होत गेलं. सिंह निराश झाला.
22	gemini	तेवढ्यात उंदराच्या कानावर सिंहाची गर्जना पडली. "अरे! हा तर जंगलाच्या राजाचा आवाज आहे!" उंदीर धावत धावत तिथे पोहोचला.
23	gemini	त्याने पाहिलं की सिंह जाळ्यात अडकला आहे. उंदीर म्हणाला-"महाराज, घाबरू नका. मी आलो आहे." सिंह आश्चर्याने म्हणाला- "तू?
24	gemini	इतका छोटासा उंदीर?" उंदीर हसत म्हणाला-"हो महाराज! आता माझी वेळ आहे." तो लगेच जाळं कुरतडू लागला. कुर्र... कुर्र... कुर्र...थोड्या वेळाने जाळं तुटलं.
25	gemini	सिंहाची सुटका झाली. सिंहाने प्रेमाने उंदराकडे पाहिलं.
26	gemini	तो म्हणाला-"मित्रा, आज तू माझे प्राण वाचवलेस." "मी तुझी थट्टा केली होती, पण तू खरंच माझ्या उपयोगी पडलास." उंदीर नम्रपणे म्हणाला- "मित्रांनी एकमेकांना मदत करायची असते." सिंह हसला- "हा हा हा!
27	gemini	अगदी बरोबर बोललास." दोघेही आनंदाने जंगलात निघून गेले. मुलांनो, या गोष्टीतून आपण काय शिकलो? कोणालाही लहान समजू नये.
28	gemini	कारण कधी कधी लहान मित्रही मोठ्या संकटात मदतीला धावून येतात. आणि हो...मित्रांची थट्टा करण्याऐवजी त्यांच्यावर विश्वास ठेवायला हवा.
29	gemini	आता सांगा बरं, तुम्हाला सिंह जास्त आवडला की हुशार उंदीर?
30	gemini	आज मी तुम्हाला कबूतर आणि मुंगीची सुंदर गोष्ट सांगणार आहे. एकदा एका मुंगीला खूप तहान लागली. ती नदीकाठी पाणी प्यायला गेली.
31	gemini	पण तिचा तोल गेला. मुंगी नदीच्या पाण्यात पडली. ती बुडू लागली. "वाचवा! वाचवा!" मुंगी ओरडली- "Help! Help!" हे एका झाडावर बसलेल्या कबुतराने पाहिले.
32	gemini	कबुतराला मुंगीची खूप दया आली. त्याने झाडाचे एक पान तोडले. ते पान त्याने मुंगीजवळ पाण्यात टाकले. मुंगी पटकन त्या पानावर चढली.
33	gemini	थोड्याच वेळात ती सुरक्षितपणे किनाऱ्यावर आली.
34	gemini	मुंगी म्हणाली, "कबुतर दादा, तुमचे खूप खूप आभार." कबुतर हसून म्हणाले, "मित्रांनी एकमेकांना मदत करायची असते." काही दिवसांनी एक पारधी तिथे आला.
35	gemini	त्याने कबुतराला पाहिले. त्याने आपला धनुष्यबाण तयार केला. तो कबुतरावर नेम धरू लागला. हे मुंगीने पाहिले. मुंगी पटकन पारध्याजवळ धावत गेली.
36	gemini	तिने पारध्याच्या पायाला जोरात चावा घेतला. "अरे!" पारधी वेदनेने ओरडला. त्याचा नेम चुकला. कबुतर लगेच आकाशात उडून गेले. कबुतराने मुंगीकडे पाहून हसत मान हलवली.
37	gemini	मुलांनो, या गोष्टीतून आपण काय शिकलो? चांगले काम कधीच वाया जात नाही. संकटाच्या वेळी मदत करणारा खरा मित्र असतो.
38	gemini	बाल हनुमान आणि लाल सूर्य आज मी तुम्हाला बाल हनुमानाची एक मजेशीर गोष्ट सांगणार आहे. लहानपणी हनुमान खूप खोडकर होता.
39	gemini	तो दिवसभर जंगलात उड्या मारत, झाडांवर चढत आणि मित्रांसोबत खेळत असे. एके सकाळी त्याने आकाशात एक मोठा लाल गोल पाहिला.
40	gemini	हनुमान आनंदाने म्हणाला, "अरे वा! किती मोठं लाल फळ!" त्याला वाटलं, आज तर खूप गोड फळ खायला मिळणार.
41	gemini	असं म्हणत त्याने एक मोठी उडी मारली. फुर्र... फुर्र... तो ढगांच्या वर उडू लागला. पक्षी आश्चर्याने म्हणाले, "अरे!
42	gemini	हनुमान कुठे चाललाय?" पण हनुमान थांबलाच नाही. तो सरळ सूर्याच्या दिशेने उडत राहिला.
43	gemini	सूर्यदेव हसून म्हणाले, "बाळा, मी फळ नाही." हनुमान म्हणाला, "पण तुम्ही अगदी पिकलेल्या फळासारखे दिसता!" हे पाहून देव घाबरले. "अरे बापरे!
44	gemini	आता काय करायचं?" ते म्हणाले. इंद्रदेव ऐरावतावर बसून तिथे आले. त्यांनी हनुमानाला थांबवण्याचा प्रयत्न केला. पण हनुमान अजूनही सूर्याजवळ जात होता.
